perfil_id,direccion,semanas_observadas,transacciones_observadas,promedio_semanal,pendiente_semanal,cambio_relativo_pct,estado_tendencia,nivel_incertidumbre
PERF_0171,entrada,12,13,2281333.33,15272.73,7.36,estabilidad_observada,media
PERF_0172,entrada,14,20,1217071.43,-49074.73,-52.42,disminucion_observada,media
PERF_0172,salida,14,78,1937000.0,53239.56,35.73,aumento_observado,media
PERF_0173,salida,14,67,986428.57,-6962.64,-9.18,estabilidad_observada,media
PERF_0173,entrada,13,30,894615.38,-9412.09,-12.62,estabilidad_observada,media
PERF_0174,salida,14,67,3188642.86,-86903.3,-35.43,disminucion_observada,media
PERF_0174,entrada,13,30,1563692.31,-21109.89,-16.2,estabilidad_observada,media
PERF_0175,entrada,14,21,551571.43,-19252.75,-45.38,disminucion_observada,media
PERF_0175,salida,14,73,1672714.29,-33103.3,-25.73,disminucion_observada,media
PERF_0176,salida,13,71,1115538.46,-3884.62,-4.18,estabilidad_observada,media
PERF_0176,entrada,14,26,1840214.29,-113035.16,-79.85,disminucion_observada,media
PERF_0177,salida,13,69,663230.77,-15505.49,-28.05,disminucion_observada,media
PERF_0177,entrada,11,23,858454.55,-42318.18,-49.3,disminucion_observada,media
PERF_0178,salida,13,79,1942615.38,32214.29,19.9,estabilidad_observada,media
PERF_0178,entrada,12,19,1629583.33,73534.97,49.64,aumento_observado,media
PERF_0179,salida,14,86,1199500.0,44454.95,48.18,aumento_observado,media
PERF_0179,entrada,13,11,788153.85,-43532.97,-66.28,disminucion_observada,media
PERF_0180,entrada,13,43,1251923.08,-33758.24,-32.36,disminucion_observada,media
PERF_0180,salida,13,56,1433615.38,19093.41,15.98,estabilidad_observada,media
PERF_0181,salida,14,76,3485714.29,24562.64,9.16,estabilidad_observada,media
PERF_0181,entrada,13,17,1588769.23,-26126.37,-19.73,estabilidad_observada,media
PERF_0182,salida,13,58,2094153.85,-3906.59,-2.24,estabilidad_observada,media
PERF_0182,entrada,13,34,770230.77,-637.36,-0.99,estabilidad_observada,media
PERF_0183,salida,14,64,556928.57,-22978.02,-53.64,disminucion_observada,media
PERF_0183,entrada,12,34,1095083.33,60367.13,60.64,aumento_observado,media
PERF_0184,entrada,13,12,1621923.08,-18412.09,-13.62,estabilidad_observada,media
PERF_0184,salida,14,86,1344000.0,-34338.46,-33.21,disminucion_observada,media
PERF_0185,salida,14,69,1048571.43,-23116.48,-28.66,disminucion_observada,media
PERF_0185,entrada,14,23,790285.71,-52874.73,-86.98,disminucion_observada,media
PERF_0186,salida,14,83,1869000.0,51960.44,36.14,aumento_observado,media
PERF_0186,entrada,14,17,1111857.14,-44610.99,-52.16,disminucion_observada,media
PERF_0187,salida,14,59,1096642.86,12912.09,15.31,estabilidad_observada,media
PERF_0187,entrada,14,35,990642.86,-46938.46,-61.6,disminucion_observada,media
PERF_0188,entrada,13,7,1100384.62,136252.75,148.59,aumento_observado,media
PERF_0188,salida,14,86,2115071.43,2002.2,1.23,estabilidad_observada,media
PERF_0189,salida,14,80,1514000.0,-5582.42,-4.79,estabilidad_observada,media
PERF_0189,entrada,11,10,663090.91,-3190.91,-4.81,estabilidad_observada,media
PERF_0190,salida,13,74,878769.23,3417.58,4.67,estabilidad_observada,media
PERF_0190,entrada,12,22,1670666.67,35097.9,23.11,estabilidad_observada,media
PERF_0191,salida,13,80,1626692.31,-25983.52,-19.17,estabilidad_observada,media
PERF_0191,entrada,13,12,1842307.69,15005.49,9.77,estabilidad_observada,media
PERF_0192,salida,13,73,1593615.38,26554.95,20.0,estabilidad_observada,media
PERF_0192,entrada,12,25,1286916.67,-62311.19,-53.26,disminucion_observada,media
PERF_0193,salida,13,66,1500461.54,133225.27,106.55,aumento_observado,media
PERF_0193,entrada,13,25,911000.0,-20005.49,-26.35,disminucion_observada,media
PERF_0194,salida,14,89,1656785.71,8472.53,6.65,estabilidad_observada,media
PERF_0194,entrada,12,11,1723416.67,26129.37,16.68,estabilidad_observada,media
PERF_0195,entrada,13,25,622692.31,-2131.87,-4.11,estabilidad_observada,media
PERF_0195,salida,14,66,1227500.0,-19290.11,-20.43,estabilidad_observada,media
PERF_0196,salida,14,82,2846714.29,-39076.92,-17.85,estabilidad_observada,media
PERF_0196,entrada,13,18,1064923.08,-101648.35,-114.54,disminucion_observada,media
PERF_0197,salida,13,59,1510153.85,-41631.87,-33.08,disminucion_observada,media
PERF_0197,entrada,12,37,2784416.67,-4276.22,-1.69,estabilidad_observada,media
PERF_0198,salida,14,91,1296214.29,-41505.49,-41.63,disminucion_observada,media
PERF_0198,entrada,12,5,1684000.0,215706.29,140.9,aumento_observado,media
PERF_0199,salida,14,81,626857.14,-50958.24,-105.68,disminucion_observada,media
PERF_0199,entrada,11,11,1428727.27,30718.18,21.5,estabilidad_observada,media
PERF_0200,entrada,14,38,764642.86,-47254.95,-80.34,disminucion_observada,media
PERF_0200,salida,14,54,1318500.0,41624.18,41.04,aumento_observado,media
